snid,n_obs,time_span,rms_residual,best_period,period_power,fap,is_detection,plot_path
1370314,239,157.8309999999983,9.586907643080092,1.0049661231817297,0.24390458292838715,1.0,False,v20/results/bbh_forensics/bbh_candidate_1370314.png
1777356,232,177.6519999999946,34.96432980746699,81.64800437236275,0.21898638005187393,1.0,False,v20/results/bbh_forensics/bbh_candidate_1777356.png
1249490,208,352.0679999999993,5.319808265705616,1.0,0.6012634459144898,1.0,False,v20/results/bbh_forensics/bbh_candidate_1249490.png
1366315,206,175.62799999999697,13.828911349852822,69.65480427046168,0.24138209365778987,1.0,False,v20/results/bbh_forensics/bbh_candidate_1366315.png
1247045,202,356.04699999999866,5.760825625666102,1.0,0.40919241529879635,1.0,False,v20/results/bbh_forensics/bbh_candidate_1247045.png
1264974,200,354.9910000000018,34.373894202213215,1.0,0.26493318016108264,1.0,False,v20/results/bbh_forensics/bbh_candidate_1264974.png
1287431,194,358.2260000000024,18.959534615645815,1.0029818378964488,0.5977645641147334,1.0,False,v20/results/bbh_forensics/bbh_candidate_1287431.png
1290124,158,356.13500000000204,9.012889078641885,99.99999999999999,0.5635818639636354,1.0,False,v20/results/bbh_forensics/bbh_candidate_1290124.png
1247245,155,176.8359999999957,4.697529490078998,1.0059735500023608,0.3446201912457626,1.0,False,v20/results/bbh_forensics/bbh_candidate_1247245.png
1294212,151,354.0060000000012,9.004042161581944,1.0,0.872120871106817,1.0,False,v20/results/bbh_forensics/bbh_candidate_1294212.png
